date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:00:25	245/245	---MCZ	200	added ('OK')	text/plain	date:Tue,%2030%20May%202023%2014:00:26%20GMT	https://www.secure.instagram.com/robots.txt		(from )
21:00:25	107217/107217	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20May%202023%2019:00:25%20GMT	https://www.secure.instagram.com/accounts/login/	C:/Users/NATHAN/Documents/Sites%20web/Copie%20de%20site/Phishing%20Instagram/www.secure.instagram.com/accounts/login/index.html	(from )
21:00:25	187029/187029	---M-Z	200	added ('OK')	text/css	etag:%22706102f0d2c1%22	https://www.secure.instagram.com/static/bundles/metro/ConsumerUICommons.css/706102f0d2c1.css	C:/Users/NATHAN/Documents/Sites%20web/Copie%20de%20site/Phishing%20Instagram/www.secure.instagram.com/static/bundles/metro/ConsumerUICommons.css/706102f0d2c1.css	(from https://www.secure.instagram.com/accounts/login/)
21:00:25	109328/109328	---M-Z	200	added ('OK')	text/css	etag:%22c56080a22250%22	https://www.secure.instagram.com/static/bundles/metro/Consumer.css/c56080a22250.css	C:/Users/NATHAN/Documents/Sites%20web/Copie%20de%20site/Phishing%20Instagram/www.secure.instagram.com/static/bundles/metro/Consumer.css/c56080a22250.css	(from https://www.secure.instagram.com/accounts/login/)
21:00:25	2625/2625	---M-Z	200	added ('OK')	text/css	etag:%2255ba8f05e763%22	https://www.secure.instagram.com/static/bundles/metro/FBSignupPage.css/55ba8f05e763.css	C:/Users/NATHAN/Documents/Sites%20web/Copie%20de%20site/Phishing%20Instagram/www.secure.instagram.com/static/bundles/metro/FBSignupPage.css/55ba8f05e763.css	(from https://www.secure.instagram.com/accounts/login/)
21:00:26	32/32	---M-Z	200	added ('OK')	text/css	etag:%223ce984c47339%22	https://www.secure.instagram.com/static/bundles/metro/LoginAndSignupPage.css/3ce984c47339.css	C:/Users/NATHAN/Documents/Sites%20web/Copie%20de%20site/Phishing%20Instagram/www.secure.instagram.com/static/bundles/metro/LoginAndSignupPage.css/3ce984c47339.css	(from https://www.secure.instagram.com/accounts/login/)
21:00:26	272526/272526	---M-Z	200	added ('OK')	text/javascript	etag:%221ab08297cf9d%22	https://www.secure.instagram.com/static/bundles/metro/Vendor.js/1ab08297cf9d.js	C:/Users/NATHAN/Documents/Sites%20web/Copie%20de%20site/Phishing%20Instagram/www.secure.instagram.com/static/bundles/metro/Vendor.js/1ab08297cf9d.js	(from https://www.secure.instagram.com/accounts/login/)
21:00:26	311271/311271	---M-Z	200	added ('OK')	text/javascript	etag:%22fbf2d1c5853f%22	https://www.secure.instagram.com/static/bundles/metro/fr_FR.js/fbf2d1c5853f.js	C:/Users/NATHAN/Documents/Sites%20web/Copie%20de%20site/Phishing%20Instagram/www.secure.instagram.com/static/bundles/metro/fr_FR.js/fbf2d1c5853f.js	(from https://www.secure.instagram.com/accounts/login/)
21:00:26	1611751/1611751	---M-Z	200	added ('OK')	text/javascript	etag:%22ab38f13faa4c%22	https://www.secure.instagram.com/static/bundles/metro/ConsumerLibCommons.js/ab38f13faa4c.js	C:/Users/NATHAN/Documents/Sites%20web/Copie%20de%20site/Phishing%20Instagram/www.secure.instagram.com/static/bundles/metro/ConsumerLibCommons.js/ab38f13faa4c.js	(from https://www.secure.instagram.com/accounts/login/)
21:00:26	626185/626185	---M-Z	200	added ('OK')	text/javascript	etag:%22f25c2bb588a3%22	https://www.secure.instagram.com/static/bundles/metro/ConsumerUICommons.js/f25c2bb588a3.js	C:/Users/NATHAN/Documents/Sites%20web/Copie%20de%20site/Phishing%20Instagram/www.secure.instagram.com/static/bundles/metro/ConsumerUICommons.js/f25c2bb588a3.js	(from https://www.secure.instagram.com/accounts/login/)
